deleterious	harmful
myopic	nearsighted; lacking foresight; N. myopia
xenophobia	 fear or hatred of foreigners; N. xenophobe
blemish	mar; spoil the beauty or perfection of; N: flaw or defect (that spoils perfection); Ex. blemishes in the crystal; CF. unblemished
significant	expressing a meaning; important; Ex. significant smile; N. significance: importance; meaning; V. signify: denote; mean; signal; make known; matter; be significant
deliberate	consider; ponder; ADJ: done on purpose; slow
phalanx	formation of infantry carrying overlapping shields and long spears; group of men packed together (for attack or defense)
maelstrom	violent whirlpool; violent or tublent situation; CF. stream
whorl	ring of leaves around stem; ring; circular arrangement; Ex. whorls on the fingers
feebleminded	deficient in intelligence; very stupid
qualms	uneasy feelings; misgivings; uneasy fears especially about matters of conscience; Ex. I have no qualms about giving this assignment to Helen.
impasse	predicament(dangerous condition) from which there is no escape; situation allowing for no further progress
bequeath	leave to someone by means of a will; hand down in his will; N. bequest
momentous	very important; N. moment; CF. momentary
reverend	deserving reverence; N: priest
condiments	seasonings; spices
inamorata	woman whom a man loves
resignation	patiently submissiveness; statement that one is quitting a job; ADJ. resigned: acquiescent
equitable	fair; impartial; OP. inequitable
congruent	in agreement; harmonious; corresponding; coinciding exactly; CF. congruous
opalescent	iridescent; lustrous; like an opal; N. opalescence
panegyric	formal praise; encomium; Ex. I don't deserve such panegyrics.
anthem	song of praise or patriotism; Ex. national anthem
yen	 strong desire; longing; urge; Ex. yen for travel
dowdy	untidy (of a woman or clothes); slovenly; dressed in an unattractive way; shabby; CF. unattractive woman
flail	beat with or as if with a flail; move wildly; thresh grain by hand; strike or slap; toss about; N: threshing tool consisting of a stick swinging from the end of a long handle
apparent	evident; easily seen or understood; appearing as such; Ex. apparent improvement
frisk	move about playfully; froric; ADJ. frisky: playful
immolate	offer or kill as a sacrifice (by fire)
skiff	small light sailboat or rowboat
fray	brawl; fight; V: wear away or unravel by rubbing; have loose threads developing; cause to become worn out (a person's temper or nerves); CF. rub
hiatus	gap; pause; gap or interruption in space or time; break
stump	base of a tree trunk left after the rest has been cut down; V: walk in a heavy manner; baffle; puzzle
provender	dry food for livestock; fodder
pestilential(pestilent)	causing plague; tending to cause death; baneful; N. pestilence: fatal epidemic disease (esp. bubonic plague)
gracious	kind in a generous way (to someone less important)
sloth	slow moving tree-dwelling mammal; laziness; ADJ. slothful: lazy; indolent
striated	marked with parallel bands; striped; grooved; Ex. striated rocks; V. striate; N. stria: thin groove or line
gravity	seriousness; ADJ. grave
torrent	rushing stream; flood; Ex. The rain fell in torrents.
deciduous	falling off at a specific season or stage of growth as of leaves; Ex. deciduous tree/teeth
resentment	indignation; bitterness; displeasure; V. resent: feel anger about
sycophant	servile flatterer; bootlicker; yes man; ADJ. sycophantic
formidable	menacing; arousing fear; threatening; difficult to defeat; Ex. formidable foe/question
recrimination	countercharges; V. recriminate
antipathy	aversion; dislike or opposition
